岗位名称,岗位职责,职业代码
销售主管, ,0
总裁助理/总经理助理,工作描述： 主要工作职责 1、负责指定区域的市场开发、客户维护和销售管理等工作。 2、负责所属区域的产品宣传、推广和销售，完成销售的任务指标。 3、制定自己的销售计划，并按计划拜访客户和开发新客户。 4、搜集与寻找客户资料，建立客户档案。 5、协助销售总监制定销售策略、销售计划，以及量化销售目标。 6、制定销售费用的预算，控制销售成本，提高销售利润。 7、做好销售合同的签订、履行与管理等相关工作，以及协调处理各类市场问题。 8、汇总与协调货源需求计划，以及制定货源调配计划。 9、接待来访客户，以及综合协调日常销售事务。 主要工作业绩 协助销售总监制定销售策略、销售计划，以及量化销售目标。 联系客户联系求职者，通常以会议的模式开展工作。 保险是风险的转移，责任的体现，产品围绕着保险的黄金十大法则 了解分析客户招聘需求，拓展维护新老客户、制定合理化招聘方案； -把握销售机会，与客户谈判促成合作，达成业绩目标； -快速有效解决客户的咨询、疑问、投诉、建议及反馈，提高客户满意度； -做好客户关系维护，提供优质售后服务，推动客户成交，达成业绩目标； -执行公司的销售策略及政策， 主要工作业绩 总监是个捞钱的班子，做私募基金的单子，年化收益24%  之前收益更高 中国人寿保险从业人员，总在说相信、听话、照做、成功   呵呵你懂得！,0
机械,工作描述： 老板是我亲戚大伯，兼司机的工作，负责机械加工生产020、接机械加工业务，按照客户要求加工成客户需求的形状，定制化生产，，负责线上的接单，像58赶集这样，民营企业，老板是我亲戚大伯，兼司机兼加工的工作，有时出去采购，和我大伯出去吃饭谈客户，小企业很多事情都需要人来做。你懂得 小企业运营管理的特点 1小公司管理职能交叉重复，管理人员往往身兼数职，业务员都是精英，人员配备精干，能起到以一顶十的作用 2小公司采取非正式的组织结构，能够灵活、迅速地适应社会变化 3小公司的运营、营销、财务职能通盘考虑 4小公司往往依靠供应链的大公司。我大伯主要依靠国家电网和有点关系的光源，处于某供应链或向大公司提供某些服务。 小公司发展成为大公司后，运营模式必须改变，否则很难进步发展。另一方面大公司的运营也要借鉴小公司灵活的模式。 1.负责区域市场的市场开拓及维护；开发客户资源，寻找潜在客户，完成销售目标； 2.签定销售合同，指导、协调、审核与销售服务有关的帐目和记录，协调运输等事务； 3.负责产品信息的收集反馈工作；货都是在河北邯郸永年永年进的货。 兼司机，开车见客户，送点零散的货，5年多的驾龄，熟练开手或自动挡汽车。 本人有车，喜欢做销售。小企业没有什么核心竞争力，大企业一板一眼比较固定的模式走，就所以我选择打工在不大不小的公司去打工，更适合我，做销售一定要引导到自己的领域到 中来才不会亏损，哪个行业好引导客户，客户愿意就能挣得到钱，什么保险现货白银原油教育，彩票股票什么的。都是庄在定的规则，呵呵你进了，就知道了，都是在做营销 运营的第一个核心在于竞争分析，一个运营要善于思考，喜欢折腾，会做对比。 运营的第二个核心在于产品的商品化。 这个概念有点拗口，我劝你还是努力吞下。 运营的主要工作是思考，每天至少要有三分之一的时间抽出来思考这三个方面的问题，再有三分之一的时间 思考怎么解决这三个方面的问题。最后三分之一的时间检查这三个问题的解决方案执行，如果还有时间，你可以去做推广。 很多运营有一个很糟的习惯，一个东西运作不好，就把问题归结为产品问题，这是错误的思想，会让你举步 不前。绝大多数的产品都有它存在的价值，一点价值都没有的产品和完美的产品一样稀少。去年 我们分析一款卖得很差的产品，这个产品从功能上有七到八个功能，我说太多，你们分析分析，有哪几个功能是 比较明显的，一分析下来，有三个功能比较明显，我说还是太多，你们对比对比，哪个功能现在市面上最需要但 是又没有其它产品占领这个概念。最后，我们选中了其中一款功能，深入挖掘， 很多人都说自己现在运营像打杂，或者无头苍蝇，很对。我看过很多派友群在聊天，都在谈这个问题。今天 产品销不出去，不是在思考产品的市场竞争情况和产品的商品化过程是否错误，而是在想，我怎么通过聚划算， 运营的第三个核心是体验构建，这个东西包含得很广泛，但是有脉络 通过淘金币销点出去，这是本末倒置。为什么你像无头苍蝇，什么是头？那三个核心是头，没有那三个头，你往 哪飞都是瞎折腾，赌运气。 数据显示你的高度87.5%靠关系  12.5%靠知识 勾画蓝图，既然我做不了老板，就找份合适我的工作做到极致。20%的人占用社会80%的财富，贫富差距以后会越来越大，还年亲，努力吧，我不想以后后悔，事业都是慢慢建立起来的，没有一步登天，天上不会掉馅饼，   总之找个好项目的事业,0
总裁助理/总经理助理,工作描述： 主要工作职责 1、负责指定区域的市场开发、客户维护和销售管理等工作。 2、负责所属区域的产品宣传、推广和销售，完成销售的任务指标。 3、制定自己的销售计划，并按计划拜访客户和开发新客户。 4、搜集与寻找客户资料，建立客户档案。 5、协助销售总监制定销售策略、销售计划，以及量化销售目标。 6、制定销售费用的预算，控制销售成本，提高销售利润。 7、做好销售合同的签订、履行与管理等相关工作，以及协调处理各类市场问题。 8、汇总与协调货源需求计划，以及制定货源调配计划。 9、接待来访客户，以及综合协调日常销售事务。 主要工作业绩 协助销售总监制定销售策略、销售计划，以及量化销售目标。 联系客户联系求职者，通常以会议的模式开展工作。 保险是风险的转移，责任的体现，产品围绕着保险的黄金十大法则 了解分析客户招聘需求，拓展维护新老客户、制定合理化招聘方案； -把握销售机会，与客户谈判促成合作，达成业绩目标； -快速有效解决客户的咨询、疑问、投诉、建议及反馈，提高客户满意度； -做好客户关系维护，提供优质售后服务，推动客户成交，达成业绩目标； -执行公司的销售策略及政策， 主要工作业绩 总监是个捞钱的班子，做私募基金的单子，年化收益24%  之前收益更高 中国人寿保险从业人员，总在说相信、听话、照做、成功   呵呵你懂得！,0
运营总监,工作描述： 管理研发团队，开发“赢三张”棋牌。后续在湖北、广东多地开展地方麻将的工作，一些城市月收入超千万。 本人创新棋牌商业代理模式和对地面运作及竞争十分熟悉，可以独立操作多个城市的地方棋牌线下市场运营工作。,0
运营总监,工作描述： 制定全国各地区棋牌产品及招商模式。在全国多地开展地方麻将+纸牌的工作，一些城市月收入超千万。  本人创新棋牌商业代理模式和对地面运作及竞争十分熟悉，可以独立操作全国各地的地方棋牌线下市场运营工作。,0
运营总监coo,工作描述： 负责产品“全民高尔夫”的游戏推广、产品设计和运营。负责产品引进，渠道推广。棋牌研发运营与联运合作、广告买量投放优化运营。,1
手游COO,协助成都投资的手游研发团队制定游戏玩法和游戏引导方案，制定游戏剧情和人设的定位设计；对整体的游戏上线活动的审理和修改。指定商品价格和游戏内产出设计。对测试期，组织和操作SNS运营，如微信微博、百度论坛、官网的设计制作和内容撰稿及传播与交互；关键注重提升用户关注和前期预热准备，需要强化用户认知和用户间传播用的专区建设和管理，并有效的在测试期将该产品专区提升至新游排行榜前列，持续获得用户认可。通过自己的特殊关系，获得测试期额外多的用户关注和数量，比同行更加获得优越条件。目前仍在测试期。成功将一款C级产品，调整产品的玩法和活动，及社区化运营，并通过自己独有的营销方案和资源，变身成一款A级产品，并获得同类型中的最优秀产品。在产品测试期，通过数据，改善了单一和传统的PVE玩法，加强了交互拉伸关系的“培养材料争夺”“公司比赛”的玩法，强化了“PVP竞技”互动的成就等级和表现。优化掉老套的主线副本剧情线路。对日常活动及商城的礼品，通过用户消耗数据的分析，修改掉累赘鸡肋的商品，并组合出更加吸引的商品包装策略，提升鸡肋商品的使用次数，使这款超低付费率和ARPU的产品，达到了A级产品的流水。将此款无任何IP无任何剧情的产品，通过公司的独特资源，包装成一款名牌产品。在运营发行期，我们组织用户在线下交互，并通过公司的名人，开展SNS运营，使用户线上与线下都展开了互动活动，提升了用户的留存和长期运作周期。1、组建“豆玩游戏”手游发行事业部，主要负责平台联运、独家产品运营发行与及整个公司的运营管理工作。2、从产品研发开始，将一款月流水不足10万的棋牌产品，调整到最后月流水2600万。简化和清晰棋牌新入用户简单交互流程，强化玩家博彩心理的游戏内展示和刺激，强化和丰富比赛制度及周期设计，活跃比赛带来的高付费效果和前期付费效果。3、将2款联运产品，从之前的负利润，做到月流水300万正利润。4、肩负集团发展的重要首款S级产品3D消除卡牌的整体运营工作，独自参与研发的产品的调整工作，完整的操作整个产品的发行从渠道、营销、运营、维护的工作。V5手游平台设计人，华南最早设计和制作手游社区运营平台，设计独有的平台与游戏内无缝衔接的SDK插件，设计了独有的“微官网”提供游戏攻略与论坛，垂直游戏内交换功能，设计独有的通知栏游戏推荐闭环方案，设计了独有的玩家产品操作行为挖掘后，进行后台行为画像，对玩家进行精准的平台资讯和游戏推荐功能。在运作游戏资讯和社区论坛交互活动和开展的手游联运合作中，真正实现23%净利润，百万月流水。作为设计人，一直以“轻松获得简单的快乐”和“人性化社交”手游平台的思想，方便用户和快乐轻松的操作与享受。负责对公司自研的PC端游： SLG策略类产品的国内外运营发行工作。经销商，负责合作产品的市场渠道合作及异业合作策划工作，线下活动的执行。,1
运营COO,工作描述： 1、组建游戏事业部（后注册为滚石移动游戏），前期负责产品引进、渠道合作，后期负责运营和产品优化。签约、调整及运营独代手游产品。 2、成功将一款C级产品，调整产品，并通过独有的明星资源，成一款A级产品，并获得同类型中的最优秀产品。优化掉老套的玩法。流水千万。 3、全国纸牌棋牌类产品的市场合作联运，引流，500万月流水。,1
发行COO,工作描述： 1、负责中手游联运事业部团队建设与管理，培训运营人才，制定运营流程及规则。搭建豆玩游戏发行，负责豆玩发行独代产品的运营及管理，负责中手游集团客服中心管理，负责棋牌游戏的运营。后组建商务部负责全国渠道合作。 2、S级手游一款，13年5月中国手游明星产品，月流水千万。 3、棋牌游戏，从月流水亏几十万运营到月流水几千万。 4、联运平台联运产品30款，专区运营产品各款月流水数百万。,1
运营总监coo,工作描述： V5游戏平台设计与建设，组建团队与管理，运营与推广平台，签约联运产品合作。 建设的V5手游平台在当时华南区有一定名誉，2个技术当时领先同行，并获得高新科技项目贷款。2款专区运营及联运，月流水数百万。,1
运营总监,工作描述： V5游戏平台设计与建设，组建团队与管理，运营与推广平台，签约联运产品合作。 建设的V5手游平台在当时华南区有一定名誉，2个技术当时领先同行，并获得高新科技项目贷款。2款专区运营及联运，月流水数百万。,1
运营总监,工作描述： 负责对公司自研的PC端游： SLG策略类产品的国内外运营发行工作。,1
运营总监,工作描述： 负责对公司自研的PC端游： SLG策略类产品的国内外运营发行工作。,1
运营总监,工作描述： 负责对公司自研的PC端游： SLG策略类产品的国内外运营发行工作。,1
业务拓展经理/主管,工作描述： 地方线下推广团队的组建与管理，并策划当地活动,0
试用期提前转正，先担任HRM半年，后升职为HRD。,工作描述： 1、招聘 1）负责与业务部门保持有效沟通；拓展招聘渠道；甄选和评估匹配度；进行入职沟通，跟进招聘结果和流程的反馈；记录数据，并对招聘渠道进行分析，提升效率；规避招聘过程中的法律风险； 2）负责招聘职位：机器学习工程师、Java架构师、项目经理、测试工程师、资本运营总监、会计等。 2、薪酬和福利 1）负责核算每月薪酬福利表，包括试用期等情况的调薪和补贴； 2）负责公司员工工作居住证开户、申报、系统维护等工作； 3）为公司争取到海淀区福利房，改善了员工的居住环境，减轻了员工的房租压力。 3、制度建设和流程优化 1）撰写员工手册，明确休假考勤制度，规避法律风险； 2）负责牵头梳理人力、财务、行政、法务各职能部门流程和制度，推动内部沟通系统和OA系统上线，并在全公司范围内进行宣讲。 4、绩效考核 1）负责推动绩效考核制度（OKR和绩效考评）、项目激励办法在公司范围内的宣导和落地； 2）负责组织试用期和半年度考核，优化不胜任工作岗位人员，并进行法律风险控制； 3）负责弹性上下班打卡制度的宣讲、落地实施，实现了顺利执行。 5、员工关系和部门内部管理 1）参与公司多次组织架构调整，在保留核心员工和优化员工方面起到了重要作用； 2）不定期组织全公司人员开展团建活动，取得一致好评； 3）负责人力资源部其他2位同事同事和行政部2位同事的工作，对其进行支持和管理。  业绩描述： 在制度建设和流程优化方面进行有效尝试。,0
先担任北京分公司HR，后升职至总部担任HR。,工作描述： 北京分公司HR 1、招聘：根据业务发展规划，协助制定招聘计划，搭建有效的招聘渠道；通过有效的测评方法提升组织招聘效率，满足业务部门的用人需求；执行和组织面试、沟通offer。 2、培训：负责营销岗位员工的入职培训，制定培训计划、开发部分课程、组织并落地实施，讲授商务礼仪、公司制度等基础课程；负责运用新媒体账户维护，对营销岗位员工进行初级在职培训，推送业务信息，组织在线考试，汇总成绩并进行定期反馈。 3、员工关系：负责办理入职、离职、转岗等人事变动手续，负责人事档案的管理，负责HER系统的录入和信息维护；为业务线提供HR管理支持，进行录用率、入职率、离职率等人力资源专业数据矩阵的汇总和分析，跟进每个季度的人员盘点和计划；负责员工劳动合同管理，协助建立企业与员工之间的沟通机制，负责离职访谈，负责人员优化，负责劳动争议的调解与处理。  总部HR 1、制度建设：协助公司人力资源方面政策、制度、体系的落地与推动执行，并针对执行结果进行有效反馈和改进；撰写公司流程手册，帮助新入职员工快速进入工作状态；汇编过往劳动人事案例，为人力团队提供参考。 2、培训：根据公司发展战略，深入了解业务与人员发展状况，评估组织发展与人才发展对HR的需求，制定培训计划，组织在线培训。 3、绩效：优化了绩效管理体系，系统地梳理了KPI考评机制，建立了以KIP考评和360度考评综合考评的考核机制，组织绩效评估，收集、分析绩效结果并提出改善建议。 4、团队建设：负责部分运营团队的指导，解决成员合理要求，确保良好沟通与高效配合。,0
人事主管,"1.	负责人力资源规划相关工作 1)	根据公司发展战略，收集汇总公司人员需求及培训需求 2)	协助上级梳理公司业务流程，并制作相应的流程 3)	协助上级完成梳理，完善岗位分析工作 2.	负责公司部分岗位招聘工作 1)	根据公司人员需求及岗位流失，负责人员招聘工作 2)	维护现有招聘渠道并开拓新渠道 3.	负责部分培训相关工作 1)	负责统计各部门年度工作需求，汇总并制定年度培训计划初稿 2)	负责员工入职培训 3)	协助上级进行较大规模培训工作 4.	负责公司绩效管理工作 1)	完善公司绩效管理体系，补充完善绩效管理制度 2)	绩效考核组织执行相关工作 3)	汇总备案考核结果，并对考核结果应用提出意见 5.	负责公司薪酬福利相关工作 1)	协助上级调整薪资结构 2)	制作部分人员薪资报表 6.	负责公司劳动关系管理 1)	负责员工档案管理，完善员工档案内容 2)	负责员工入职，调岗，离职等手续的办理，面谈工作 3)	负责员工社保及公积金办理相关工作",0
校长办公室秘书、教师,1)协助办公室主任开展教师招聘、入职、培训、考勤和解聘等相关工作 2)撰写报告、会议纪要等各类综合性文件，担任校报执行编辑和《校友风采录二》编委 3)担任《企业行政管理》、《会务管理》等课程的任课教师，负责课程的教学工作 4)负责与全校师生的信息沟通，以及上传下达各项信息 5)妥善接待来访的重要来宾,0
国家在编教师，兼职校长办公室秘书,工作描述： 1、担任《行政管理》、《会务管理》等课程的任课教师，负责课程的教学工作； 2、撰写报告、会议纪要等各类综合性文件，担任校报执行编辑和《校友风采录二》编委； 3、负责与全校师生的信息沟通，以及上传下达各项信息。,0
软件测试讲师,工作职责：                                     负责软件测试岗位的讲课，包括测试基础知识，数据库知识，自动化测试以及性能测试等方面培训 带领学生完成一系列真实项目的软件测试工作 参与测试新课题研究,1
软件测试,工作职责：                                     1.制定项目测试计划  2.搭建测试环境  3.根据需求标准设计测试用例  4.搭建自动化测试环境以及脚本编写  5.根据接口文档编写测试用例，并编写接口脚本  6.编写性能测试脚本并监控性能数据，进行性能分析  7.编写测试报告  8.参与需求评审和需求变更工作  9.负责版本控制和更改,1
测试工程师,工作职责：                                     1.搭建测试环境  2.根据项目编写测试计划  3.根据需求编写测试用例  4.使用QTP进行自动化测试  5.使用LoadRunner进行性能测试和分析  6.负责分配小组测试任务  7.参与项目需求评审工作  8.编写测试报告  9.负责完善测试流程、以及缺陷管理工具的搭建和培训工作,1
大客户销售,工作描述： 工作责任：主要负责、ODM、0EM、品牌代工、跨境电商开发。 离职原因：                                 企业定位不明朗，产品竞争力弱，没有营销方案，个人能力受阻。,0
销售总监,工作描述： 工作职责：主要负责省级代理商、城市代理商、前期开发拓展工作。跑遍了70多个城市、洽谈了3000多家公司、及店面、并成功的签约了以下城市代理商及经销商，（昆明、丽江、瑞丽、贵阳、长沙、武汉、南昌、银川、郑哥、石家庄、保定、邯郸、内蒙、大连、哈尔滨、沈阳、长春、大同、太原、天津、福州、厦门、伊宁、济南、及山东17个地级市。熟悉国美、苏宁KA卖场的流程及国美总部对接下、并成功的运作阿里巴巴，2015年销售突破3000万。熟悉深圳跨境电商部份企业。 离职原因：                                 企业暂无经营,0
生产主管,工作描述： 数码制造业管理工作4年、先后从事，设备维修、技术、车间管理等工作。曾在管理和技术改造中得到领导和员工的好评。工作职责：主要负责LBU事业部，镜头生产及设备维护管理工作、做好每月的产能计划、周计划、日产能计划落实到人、按时完成需求订单。 离职原因：                                 我来深圳需要的不是这种生活,0
软件工程师,工作描述： 主要运用 Spring-Mybatis+Spring-MVC+JavaScript+JQery+AJAX 等技术开发web服务端；,1
行政经理/主管/办公室主任,工作描述： 负责站点人员的管理及服务的开展,0
主美,工作描述： 钢铁使命（可旋转角度横版飞行射击游戏）   确定并执行美术风格，人员管理并培养，计划安排并执行，外包投放、审核、反馈等。汇报工作并与项目经理共同制定版本时间。该产品获得苹果大图推荐。,1
主美,工作描述： 合金先锋（类合金弹头玩法，日韩Q版）   项目研发期间，参与产品定位，世界观创造，技术实现等前期设定；制定目标后制作一系列的概念设计与统筹计划； 执行阶段与不少外包公司有过深度合作，积累了一定的外包公司资源与合作经验。,1
主美,工作描述： 钢铁使命（可旋转角度横版飞行射击游戏）   确定并执行美术风格，人员管理并培养，计划安排并执行，外包投放、审核、反馈等。汇报工作并与项目经理共同制定版本时间。该产品获得苹果大图推荐。 合金先锋（类合金弹头玩法，日韩Q版）  项目研发期间，参与产品定位，世界观创造，技术实现等前期设定；制定目标后制作一系列的概念设计与统筹计划； 执行阶段与不少外包公司有过深度合作，积累了一定的外包公司资源与合作经验。,1
主美,"1负责公司手游项目美术团队技术、人员管理、工作进度和质量的统筹工作,保证游戏美术工作顺利完成;   2、手游项目整体风格的制定及把控,负责审核项目美术资源;   3、兼职担当原画设计任务,负责手游项目的角色、场景概念的主要设计;   4、负责与策划和程序部门沟通与对接,制定美术团队的工作计划、保障项目进度。    <-汇报对象-> 项目经理    <-下属人数-> 7   证 明 人: 刘杰    <-离职原因-> 团队解散",1
主美,工作描述： 1、负责公司手游项目美术团队技术、人员管理、工作进度和质量的统筹工作，保证游戏美术工作顺利完成； 2、手游项目整体风格的制定及把控，负责审核项目美术资源； 3、兼职担当原画设计任务，负责手游项目的角色、场景概念的主要设计； 4、负责与策划和程序部门沟通与对接，制定美术团队的工作计划、保障项目进度。 离职原因：                                 团队解散,1
主美,工作描述： 1、负责公司手游项目美术团队技术、人员管理、工作进度和质量的统筹工作，保证游戏美术工作顺利完成； 2、手游项目整体风格的制定及把控，负责审核项目美术资源； 3、兼职担当原画设计任务，负责手游项目的角色、场景概念的主要设计； 4、负责与策划和程序部门沟通与对接，制定美术团队的工作计划、保障项目进度。 离职原因：                                 公司解散,1
角色原画设计、场景原画设计,工作描述： 角色原画设计，半身像绘制，时装设计，武器道具设计，图标设计，场景原画，地图绘制，家园系统，故事插画,1
设计师助理,"辅助创意设计师工作,帮其处理设计涉及的素材,并参与项目工作中.理清项目于设计师的思路,从而提供创意点.",0
高级助理,工作描述： 自2015年9月在材料所康复与辅助机器人技术团队工作。在“末端牵引式上肢康复训练与评估系统”项目中负责下位机控制系统的开发调试。整个系统已有两代下位机控制系统分别基于Cortex M3、倍福TwinCAT3.0开发，在此平台上实现阻抗控制算法较为柔顺的控制机器与人的交互力。,1
工程师,工作描述： -根据项目需要选择元器件，在保证性能的前提下选择性价比最高的元件。 -设计电气原理图，完成系统电气部分的安装调试。 -设计下位机软件架构制定系统控制策略、仿真验证并编写代码实现控制策略。 -辅助相关部分完成设备安全检验。 -辅助项目负责人管理团队把控项目进度。,1
开发工程师,工作描述： 新加坡NTU（南洋理工大学）博导团队进行《下肢康复训练系统》的研究。参与下肢康复医疗设备研发。该项目针对老年人摔倒及摔倒后下肢的康复训练的问题进行研究设计、开发。整体项目中负责步态检测（Gait Measurement）模块的设计、数据分析处理及应用调试。,1
开发工程师,工作描述： 研究生实习项目：新加坡NTU（南洋理工大学）****团队进行《下肢康复训练系统》的研究。参与下肢康复医疗设备研发。该项目针对老年人摔倒及摔倒后下肢的康复训练的问题进行研究设计、开发。整体项目中负责步态检测（Gait Measurement）模块的设计、数据分析处理及应用调试。,1
高级助理,工作描述： 新加坡NTU(南洋理工大学)博导团队，参与下肢康复医疗设备研发。该项目针对老年人摔倒及摔倒后下肢的康复训练的问题进行研究设计、开发。整体项目中负责步态检测（Gait Measurement）模块的开发、数据分析处理及应用调试。,1
算法工程师,工作描述： 公司从事智能机器人、工业机械臂的研发与生产。本人在研发部从事机械臂路径规划算法的研究，主要任务是根据实际任务建立对应数学模型编写算法仿真并验证，算法通过验证后编写上位机程序，进行机器人的实际应用与调试。,1
算法工程师,工作描述： 公司从事智能机器人、工业机械臂的研发与生产。本人在研发部从事机械臂路径规划算法的研究，主要任务是根据实际任务建立对应数学模型编写算法仿真并验证，算法通过验证后编写上位机程序，进行机器人的实际应用与调试。,1
进行工业机械臂轨迹算法的研究,工作描述： 以公司研发的七轴机械臂为对象，进行机械臂空间轨迹算法的研究。建立模型设计算法根据模型进行仿真验证，并根据算法编写实际应用控制程序。建立永磁同步电机的控制模型设计控制算法，根据仿真算法编写电机控制程序并依据程序调试电机。,1
招聘经理,工作描述： 工作职责： 1、招聘体系制度建设：搭建和完善公司招聘管理制度、招聘体系、招聘流程及人才政策； 2、招聘渠道管理：开拓、完善和维护各种招聘渠道，进行各渠道效果分析，优化渠道的投放和管理； 3、根据公司发展战略及业务发展需求，开展招聘需求调查，编制年度招聘计划及招聘费用预算； 4、带领招聘团队，深入职位分析，精准定位人才招聘方案和渠道，实施公司各项招聘计划； 5、招聘评估分析：定期统计、评估和汇报招聘效果，编制招聘分析报告，提出招聘改进建议并推进实施；  6、雇主品牌建设：开展招聘宣传，规范信息传播，进行雇主品牌打造，提升企业知名度和美誉度； 7、人才测评管理：开发或引进人才测评工具和甄选方法，利用测评工具辅助人才选拔、人岗配置和团队搭配； 8、建立人才数据库：建立目标企业库、行业人才库、储备人才库，并进行更新和维护； 9、开展招聘面试培训：辅导、培训各业务部门的面试技巧、测评方法，提高招聘质量与速度； 10、组织协助各部门开展职位工作分析：撰写岗位说明书、核定岗位职责及任职资格； 11、招聘预算与成本的管控：招聘预算的设计和招聘成本的控制、分析； 12、分子公司的招聘统筹、支持、规范和监控。 主要业绩： 1.及时有效的为公司公司招募了合格的人员，优化了公司招聘、面试、筛选流程； 2.招聘体系制度建设方面：撰写招聘管理制度、人才回访指引、集团题库建立方案、人员盘点计划、自媒体的招聘信息推广、猎头管理制度、员工内部推荐制度、招聘与录用审批流程、分子公司招聘操作指引。 3.为公司培养优秀的初试、复试面试官的招聘技巧宣讲； 4.招聘渠道拓展： ①网络渠道——前程无忧和智联招聘（升级优化）、猎聘网、深圳人才网、中国物流人才网、应届毕业生招聘网； ②外包渠道——猎头（适才猎头、海伦猎头、普费胜猎头）、RPO流程外包等； ③自媒体工具——官方微博、微招聘、易企秀、行业交流群、职业交流群、职业社交平台（如领英网）等； ④其它渠道——内部推荐、校园招聘、媒体广告、行业协会/培训机构等。 5.招聘岗位及完成情况： ①中高层管理岗位——主要负责集团职能中心及各分子公司、事业部的中高管人才招聘；16年招聘到位各类中高级人才15余人； ②基层岗位——负责统筹协调基层员工招聘工作，招聘完成率到达90%以上； 招聘的岗位包括：JAVA工程师、需求分析师、软件测试工程师、运维工程师、商务经理、市场经理、网络推广经理、人事行政经理等。,0
招聘经理,工作描述： 工作职责： 1、招聘体系制度建设：搭建和完善公司招聘管理制度、招聘体系、招聘流程及人才政策； 2、招聘渠道管理：开拓、完善和维护各种招聘渠道，进行各渠道效果分析，优化渠道的投放和管理； 3、根据公司发展战略及业务发展需求，开展招聘需求调查，编制年度招聘计划及招聘费用预算； 4、带领招聘团队，深入职位分析，精准定位人才招聘方案和渠道，实施公司各项招聘计划； 5、招聘评估分析：定期统计、评估和汇报招聘效果，编制招聘分析报告，提出招聘改进建议并推进实施；  6、雇主品牌建设：开展招聘宣传，规范信息传播，进行雇主品牌打造，提升企业知名度和美誉度； 7、人才测评管理：开发或引进人才测评工具和甄选方法，利用测评工具辅助人才选拔、人岗配置和团队搭配； 8、建立人才数据库：建立目标企业库、行业人才库、储备人才库，并进行更新和维护； 9、开展招聘面试培训：辅导、培训各业务部门的面试技巧、测评方法，提高招聘质量与速度； 10、组织协助各部门开展职位工作分析：撰写岗位说明书、核定岗位职责及任职资格； 11、招聘预算与成本的管控：招聘预算的设计和招聘成本的控制、分析； 12、分子公司的招聘统筹、支持、规范和监控。 主要业绩： 1、及时有效的为公司公司招募了合格的人员，优化了公司招聘、面试、筛选流程； 2、招聘体系制度建设方面：撰写招聘管理制度、人才回访指引、集团题库建立方案、人员盘点计划、自媒体的招聘信息推广、猎头管理制度、员工内部推荐制度、招聘与录用审批流程、分子公司招聘操作指引。 3、为公司培养优秀的初试、复试面试官的招聘技巧宣讲； 4、招聘渠道拓展： ①网络渠道——前程无忧和智联招聘（升级优化）、猎聘网、深圳人才网、中国物流人才网、应届毕业生招聘网； ②外包渠道——猎头（适才猎头、海伦猎头、普费胜猎头）、RPO流程外包等； ③自媒体工具——官方微博、微招聘、易企秀、行业交流群、职业交流群、职业社交平台（如领英网）等； ④其它渠道——内部推荐、校园招聘、媒体广告、行业协会/培训机构等。 5、招聘岗位及完成情况： ①中高层管理岗位——主要负责集团职能中心及各分子公司、事业部的中高管人才招聘；16年招聘到位各类中高级人才15余人； ②基层岗位——负责统筹协调基层员工招聘工作，招聘完成率到达90%以上； 招聘的岗位包括：JAVA工程师、需求分析师、软件测试工程师、运维工程师、商务经理、市场经理、网络推广经理、人事行政经理等。,0
人事主管,工作描述： 一、招聘与录用  ①主要负责相关岗位人员编制配置与招聘录用（筛选、面试、背景调查）工作，熟悉专业岗位（公估，理赔）的相关招聘；  ②善于运用招聘中的各类人员素质测评技术，制作系统的人员素质测试方案；  ③各类招聘表格的编制与汇总，每周、每月、年度进行人员招聘数据汇总与分析；  ④善于拓展各类型招聘渠道，熟悉通用的招聘方法，促进紧急岗位的到岗率；  二、培训  ①收集公司各类业务部门培训需求，开展新员工培训课程，并制作培训后评估方案；  ②根据实际的培训需求，善于制作各类型培训课件。  三、劳动关系  ①负责员工入职离职相关文件手续办理（及时签订劳动合同并收集相关的员工资料）；  ②负责相关人事报表的汇总与分析（花名册、异动表）；  ③负责人员离职面谈与离职相关风险把控；  ④根据人力资源的规划与公司业务发展的需要，完善各岗位职位分析与修改岗位说明书。  四、绩效与福利  ①制定相关的绩效考核指标（KPI、360度评估），建立科学的考核机制方案；  ②收集相关人员的绩效考核数据、并进行相关的绩效面谈、分析现有人员状况。,0
人事主管,工作描述： 担任人力资源管理中心招聘专员（2011年1月-2013年2月） 1.协助上级根据公司战略规划、现有编制及业务发展需求，分析、协调、统计各部门的招聘需求，编制人员招聘计划； 2.招聘体系完善：针对具体情况，协助上级对招聘流程和体系进行优化、完善； 3.招聘准备：利用各种招聘渠道发布招聘广告，寻求更多招聘渠道； 4.甄选和面试：组织简历甄别和聘前测试工作，充分利用非结构化及结构化面试，高效找到匹配公司需求的人才； 5.录用跟进：按公司规定完成面试合格者的录用审批、发布录用通知书、跟进入职准备工作等流程； 6.人才储备：协助上级建立后备人才选拔方案和人才储备机制，储备优质人才； 7.报表管理：汇总分析相关招聘报表，统计简历筛选、面试、录用等情况。 (主要负责一般员工、基层管理和中层管理的招聘） 招聘的岗位包括：.net工程师、精算师、融资经理、公估经理、售后经理、理赔经理等。 调岗为人力资源管理中心华南区域人事管理主管（2013年2月-2014年2月） 1.配合集团根据全国人力资源战略规划要求合规规管华南区域机构的社保公积金合规情况、人事管理、规避人事风险； 2.根据规划编制及业务发展需求指导华南区域机构招聘所需人员； 3.制定华南区域人事管理规章制度； 4.审核华南区域机构高管负责人任职资格； 5.负责华南区域牌照管理共62个牌照。,0
 , ,1
 , ,0
